  1: [[Level 166 ]]:	16, 4
  2: [[Level 167 ]]:	8, 12
  3: [[Level 171 ]]:	5, 22
  4: [[Level 172 ]]:	36, 0
  5: [[Level 174 ]]:	7, 0
  6: [[Level 177 ]]:	75, 6
  7: [[Level 180 ]]:	25, 12
  8: [[Level 183 ]]:	4, 12
  9: [[Level 190 ]]:	81, 0
 10: [[Level 194 ]]:	81, 0
 11: [[Level 214 ]]:	29, 3
 12: [[Level 216 ]]:	12, 60
 13: [[Level 219 ]]:	11, 0
 14: [[Level 224 ]]:	21, 21
 15: [[Level 227 ]]:	15, 0
 16: [[Level 292 ]]:	31, 5
 17: [[Level 329 ]]:	47, 7
 18: [[Level 337 ]]:	0, 11
 19: [[Level 353 ]]:	7, 20
 20: [[Level 378 ]]:	5, 24
 21: [[Level 418 ]]:	46, 19
 22: [[Level 481 ]]:	7, 20
 23: [[Level 488 ]]:	0, 24
 24: [[Level 502 ]]:	10, 14
 25: [[Level 511 ]]:	12, 30
 26: [[Level 571 ]]:	13, 0
 27: [[Level 588 ]]:	35, 2
 28: [[Level 597 ]]:	5, 16
 29: [[Level 611 ]]:	10, 18
 30: [[Level 628 ]]:	30, 0
 31: [[Level 651 ]]:	12, 17
 32: [[Level 682 ]]:	3, 6
 33: [[Level 691 ]]:	21, 22
 34: [[Level 718 ]]:	1, 14
 35: [[Level 727 ]]:	0, 33
 36: [[Level 741 ]]:	6, 21
 37: [[Level 757 ]]:	6, 29
 38: [[Level 778 ]]:	0, 17
 39: [[Level 797 ]]:	5, 40
 40: [[Level 809 ]]:	4, 14
 41: [[Level 817 ]]:	19, 17
 42: [[Level 838 ]]:	9, 35
 43: [[Level 842 ]]:	12, 27
 44: [[Level 851 ]]:	52, 0
 45: [[Level 873 ]]:	22, 2
 46: [[Level 890 ]]:	2, 36
 47: [[Level 913 ]]:	0, 13
 48: [[Level 935 ]]:	20, 37
 49: [[Level 943 ]]:	0, 48
 50: [[Level 959 ]]:	15, 13
 51: [[Level 983 ]]:	31, 35
 52: [[Level 1001]]:	0, 53
 53: [[Level 1024]]:	4, 47
 54: [[Level 1029]]:	16, 8
 55: [[Level 1051]]:	13, 15
 56: [[Level 1062]]:	28, 8
 57: [[Level 1066]]:	79, 2
 58: [[Level 1086]]:	24, 0
 59: [[Level 1095]]:	18, 27
 60: [[Level 1110]]:	5, 36
 61: [[Level 1125]]:	5, 9
 62: [[Level 1142]]:	58, 13
 63: [[Level 1153]]:	12, 9
 64: [[Level 1171]]:	0, 5
 65: [[Level 1183]]:	0, 22
 66: [[Level 1202]]:	9, 29
 67: [[Level 1248]]:	4, 11
 68: [[Level 1263]]:	24, 2
 69: [[Level 1302]]:	4, 12
 70: [[Level 1305]]:	4, 27
 71: [[Level 1339]]:	0, 20
 72: [[Level 1353]]:	32, 16
 73: [[Level 1361]]:	7, 8
 74: [[Level 1387]]:	12, 20
 75: [[Level 1395]]:	28, 0
 76: [[Level 1440]]:	6, 25
 77: [[Level 1451]]:	0, 9
 78: [[Level 1497]]:	6, 35
 79: [[Level 1518]]:	34, 0
 80: [[Level 1549]]:	6, 31
 81: [[Level 1559]]:	0, 16
 82: [[Level 1580]]:	12, 9
 83: [[Level 1598]]:	0, 16
 84: [[Level 1601]]:	18, 29
 85: [[Level 1625]]:	17, 13
 86: [[Level 1634]]:	28, 2
 87: [[Level 1650]]:	0, 14
 88: [[Level 1662]]:	4, 34
 89: [[Level 1686]]:	4, 19
 90: [[Level 1693]]:	11, 17
 91: [[Level 1721]]:	9, 24
 92: [[Level 1736]]:	0, 3
 93: [[Level 1754]]:	6, 0
 94: [[Level 1778]]:	8, 13
 95: [[Level 1787]]:	16, 16
 96: [[Level 1826]]:	34, 0
 97: [[Level 1844]]:	21, 0
 98: [[Level 1868]]:	18, 3
 99: [[Level 1874]]:	0, 5
100: [[Level 1886]]:	0, 7
101: [[Level 1905]]:	24, 0
102: [[Level 1925]]:	0, 9
103: [[Level 1948]]:	18, 0
104: [[Level 1967]]:	38, 0
105: [[Level 1985]]:	29, 42
106: [[Level 2001]]:	11, 5
107: [[Level 2006]]:	0, 27
108: [[Level 2045]]:	0, 14
109: [[Level 2049]]:	6, 3
110: [[Level 2054]]:	0, 4
111: [[Level 2078]]:	0, 15
112: [[Level 2091]]:	0, 18
113: [[Level 2103]]:	12, 3
114: [[Level 2118]]:	4, 13
115: [[Level 2138]]:	6, 0
116: [[Level 2153]]:	10, 8
117: [[Level 2159]]:	9, 9
118: [[Level 2168]]:	34, 0
119: [[Level 2174]]:	9, 9
120: [[Level 2195]]:	9, 0
121: [[Level 2207]]:	23, 4
122: [[Level 2219]]:	22, 2
123: [[Level 2237]]:	0, 14
124: [[Level 2249]]:	0, 27
125: [[Level 2264]]:	7, 12
126: [[Level 2279]]:	21, 18
127: [[Level 2291]]:	6, 14
128: [[Level 2306]]:	9, 15
129: [[Level 2313]]:	12, 22
130: [[Level 2327]]:	20, 1
131: [[Level 2339]]:	11, 14
132: [[Level 2351]]:	10, 5
133: [[Level 2366]]:	8, 0
134: [[Level 2387]]:	3, 17
135: [[Level 2402]]:	7, 19
136: [[Level 2406]]:	6, 1
137: [[Level 2418]]:	21, 0
138: [[Level 2429]]:	10, 21
139: [[Level 2439]]:	22, 28
140: [[Level 2447]]:	23, 0
141: [[Level 2465]]:	0, 32
142: [[Level 2471]]:	14, 0
143: [[Level 2480]]:	59, 0
144: [[Level 2492]]:	40, 20
145: [[Level 2501]]:	0, 41
146: [[Level 2519]]:	4, 30
147: [[Level 2540]]:	26, 1
148: [[Level 2546]]:	12, 12
149: [[Level 2552]]:	27, 0
150: [[Level 2573]]:	10, 28
151: [[Level 2579]]:	38, 0
152: [[Level 2586]]:	16, 9
153: [[Level 2601]]:	9, 6
154: [[Level 2606]]:	36, 0
155: [[Level 2615]]:	13, 3
156: [[Level 2624]]:	3, 14
157: [[Level 2639]]:	27, 9
158: [[Level 2646]]:	7, 24
159: [[Level 2652]]:	14, 10
160: [[Level 2663]]:	26, 0
161: [[Level 2670]]:	24, 0
162: [[Level 2678]]:	20, 12
163: [[Level 2681]]:	24, 8
164: [[Level 2702]]:	25, 12
165: [[Level 2714]]:	30, 0
166: [[Level 2729]]:	16, 6
167: [[Level 2736]]:	39, 0
168: [[Level 2744]]:	19, 0
169: [[Level 2756]]:	0, 25
170: [[Level 2775]]:	15, 11
171: [[Level 2792]]:	5, 32
172: [[Level 2810]]:	22, 0
173: [[Level 2816]]:	6, 22
174: [[Level 2837]]:	17, 0
175: [[Level 2856]]:	41, 14
176: [[Level 2864]]:	20, 11
177: [[Level 2909]]:	22, 2
178: [[Level 2921]]:	27, 0
179: [[Level 2945]]:	30, 0
180: [[Level 2958]]:	55, 0
181: [[Level 2966]]:	37, 0
182: [[Level 2987]]:	13, 1
