  1: [[Level 256 ]]:	2/38
  2: [[Level 257 ]]:	2/62
  3: [[Level 258 ]]:	4/40
  4: [[Level 259 ]]:	29/40
  5: [[Level 260 ]]:	4/48
  6: [[Level 261 ]]:	30/51
  7: [[Level 262 ]]:	9/72
  8: [[Level 263 ]]:	14/27
  9: [[Level 264 ]]:	1/66
 10: [[Level 265 ]]:	18/54
 11: [[Level 266 ]]:	8/73
 12: [[Level 267 ]]:	1/72
 13: [[Level 268 ]]:	5/76
 14: [[Level 269 ]]:	2/79
 15: [[Level 270 ]]:	6/59
 16: [[Level 274 ]]:	2/69
 17: [[Level 275 ]]:	9/63
 18: [[Level 279 ]]:	30/41
 19: [[Level 283 ]]:	3/78
 20: [[Level 286 ]]:	4/56
 21: [[Level 287 ]]:	9/72
 22: [[Level 288 ]]:	44/28
 23: [[Level 293 ]]:	9/72
 24: [[Level 297 ]]:	12/69
 25: [[Level 299 ]]:	2/75
 26: [[Level 302 ]]:	3/67
 27: [[Level 306 ]]:	5/69
 28: [[Level 312 ]]:	4/77
 29: [[Level 319 ]]:	1/80
 30: [[Level 322 ]]:	1/71
 31: [[Level 326 ]]:	8/40
 32: [[Level 335 ]]:	1/74
 33: [[Level 344 ]]:	2/56
 34: [[Level 348 ]]:	1/80
 35: [[Level 355 ]]:	3/76
 36: [[Level 359 ]]:	3/64
 37: [[Level 362 ]]:	4/69
 38: [[Level 365 ]]:	18/54
 39: [[Level 366 ]]:	1/69
 40: [[Level 371 ]]:	1/72
 41: [[Level 377 ]]:	1/80
 42: [[Level 384 ]]:	4/68
 43: [[Level 386 ]]:	1/75
 44: [[Level 392 ]]:	2/79
 45: [[Level 399 ]]:	2/71
 46: [[Level 403 ]]:	1/80
 47: [[Level 406 ]]:	1/80
 48: [[Level 411 ]]:	2/70
 49: [[Level 415 ]]:	5/76
 50: [[Level 419 ]]:	8/53
 51: [[Level 421 ]]:	4/72
 52: [[Level 424 ]]:	1/80
 53: [[Level 426 ]]:	1/80
 54: [[Level 429 ]]:	27/54
 55: [[Level 432 ]]:	1/68
 56: [[Level 435 ]]:	4/63
 57: [[Level 444 ]]:	1/80
 58: [[Level 449 ]]:	2/72
 59: [[Level 453 ]]:	5/72
 60: [[Level 457 ]]:	1/76
 61: [[Level 459 ]]:	1/65
 62: [[Level 461 ]]:	21/40
 63: [[Level 463 ]]:	1/68
 64: [[Level 467 ]]:	1/63
 65: [[Level 477 ]]:	1/71
 66: [[Level 480 ]]:	2/67
 67: [[Level 482 ]]:	15/66
 68: [[Level 484 ]]:	1/70
 69: [[Level 489 ]]:	1/64
 70: [[Level 491 ]]:	2/73
 71: [[Level 494 ]]:	8/73
 72: [[Level 496 ]]:	1/73
 73: [[Level 503 ]]:	1/62
 74: [[Level 507 ]]:	1/68
 75: [[Level 509 ]]:	2/70
 76: [[Level 513 ]]:	1/66
 77: [[Level 517 ]]:	4/68
 78: [[Level 520 ]]:	1/71
 79: [[Level 523 ]]:	2/61
 80: [[Level 531 ]]:	4/77
 81: [[Level 535 ]]:	18/54
 82: [[Level 541 ]]:	1/65
 83: [[Level 552 ]]:	1/65
 84: [[Level 555 ]]:	4/60
 85: [[Level 560 ]]:	8/65
 86: [[Level 563 ]]:	1/80
 87: [[Level 570 ]]:	4/66
