L   1	1000	10000	15000
L   2	3000	20000	30000
L   3	1000	10000	20000
L   4	2000	6000	12000
L   5	3000	30000	50000
L   6	10000	65000	75000
L   7	5000	25000	40000
L   8	10000	250000	350000
L   9	6000	12000	19000
L  10	3000	15000	20000
L  11	2000	40000	50000
L  12	3000	20000	35000
L  13	50000	125000	175000
L  14	9000	90000	150000
L  15	3000	30000	50000
L  16	10000	20000	30000
L  17	7000	25000	39000
L  18	48000	60000	80000
L  19	3000	15000	30000
L  20	10000	80000	100000
L  21	2000	20000	30000
L  22	3000	25000	35000
L  23	1000	50000	70000
L  24	3000	30000	40000
L  25	1000	90000	110000
L  26	9000	40000	55000
L  27	1000	10000	15000
L  28	16000	30000	60000
L  29	3000	35000	55000
L  30	30000	120000	170000
L  31	2000	10000	20000
L  32	3000	30000	50000
L  33	3000	140000	170000
L  34	15000	90000	110000
L  35	2000	20000	35000
L  36	1000	60000	80000
L  37	9000	25000	30000
L  38	3000	30000	45000
L  39	1000	15000	20000
L  40	20000	65000	80000
L  41	1000	60000	70000
L  42	3000	50000	65000
L  43	45000	95000	135000
L  44	3000	10000	20000
L  45	3000	20000	35000
L  46	3000	50000	75000
L  47	8000	30000	40000
L  48	10000	55000	70000
L  49	10000	35000	55000
L  50	3000	30000	55000
L  51	3000	45000	75000
L  52	1000	25000	40000
L  53	1000	70000	90000
L  54	1000	25000	40000
L  55	3000	45000	65000
L  56	3000	15000	30000
L  57	1000	70000	85000
L  58	9000	50000	60000
L  59	5000	30000	50000
L  60	15000	75000	100000
L  61	1000	5000	10000
L  62	1000	35000	55000
L  63	6000	110000	130000
L  64	1000	90000	110000
L  65	5000	30000	45000
L  66	1000	40000	50000
L  67	1000	20000	30000
L  68	1000	70000	100000
L  69	9000	80000	110000
L  70	10000	100000	200000
L  71	1000	15000	30000
L  72	3000	35000	50000
L  73	30000	350000	500000
L  74	1000	60000	75000
L  75	3000	35000	45000
L  76	30000	115000	145000
L  77	15000	55000	70000
L  78	10000	70000	90000
L  79	1000	45000	65000
L  80	1000	140000	170000
L  81	6000	55000	85000
L  82	20000	75000	100000
L  83	30000	145000	175000
L  84	18000	60000	75000
L  85	1000	25000	35000
L  86	16000	75000	100000
L  87	9000	35000	45000
L  88	10000	45000	65000
L  89	1000	30000	50000
L  90	30000	90000	110000
L  91	3000	30000	40000
L  92	3000	35000	45000
L  93	3000	30000	40000
L  94	3000	25000	35000
L  95	5000	25000	35000
L  96	10000	50000	70000
L  97	1000	20000	30000
L  98	6000	35000	50000
L  99	3000	35000	45000
L 100	20000	40000	55000
L 101	5000	65000	80000
L 102	5000	70000	90000
L 103	5000	25000	45000
L 104	6000	85000	110000
L 105	6000	40000	50000
L 106	1000	190000	230000
L 107	9000	60000	80000
L 108	10000	80000	100000
L 109	10000	40000	60000
L 110	18000	90000	110000
L 111	1000	80000	120000
L 112	3000	55000	75000
L 113	12000	45000	55000
L 114	1000	25000	40000
L 115	15000	75000	100000
L 116	40000	250000	300000
L 117	3000	50000	70000
L 118	15000	60000	80000
L 119	10000	85000	100000
L 120	3000	25000	35000
L 121	3000	25000	40000
L 122	5000	75000	100000
L 123	10000	40000	50000
L 124	9000	50000	80000
L 125	5000	60000	75000
L 126	1000	40000	50000
L 127	10000	90000	120000
L 128	1000	45000	55000
L 129	10000	80000	110000
L 130	20000	250000	300000
L 131	1000	8000	15000
L 132	10000	40000	50000
L 133	1000	35000	45000
L 134	3000	40000	50000
L 135	20000	45000	60000
L 136	1000	10000	20000
L 137	9000	50000	75000
L 138	10000	45000	65000
L 139	5000	20000	30000
L 140	20000	40000	60000
L 141	3000	15000	25000
L 142	10000	60000	75000
L 143	8000	20000	30000
L 144	2000	25000	35000
L 145	50000	140000	160000
L 146	3000	20000	25000
L 147	2000	40000	65000
L 148	14000	55000	75000
L 149	1000	25000	40000
L 150	3000	65000	105000
L 151	1000	20000	30000
L 152	3000	25000	35000
L 153	10000	250000	300000
L 154	1000	12000	16000
L 155	35000	100000	130000
L 156	1000	25000	35000
L 157	9000	55000	75000
L 158	63000	120000	140000
L 159	12000	65000	85000
L 160	10000	85000	110000
L 161	1000	20000	25000
L 162	16000	45000	65000
L 163	3000	30000	40000
L 164	10000	60000	75000
L 165	1000	25000	35000
L 166	5000	35000	50000
L 167	1000	20000	35000
