L   1	[{"name":"SodaToTheBrimTask"},{"name":"LemonadeSeaTask","maxNumLemonadeBalloonsOnScreen":4,"minNumLemonadeBalloonsOnScreen":0,"spawnLemonadeBalloonAfterNumSwitches":0,"numLemonadeDropsPerSplash":9,"autoFillLemonade":false,"sodaTypeIsSpecialCorrosive":false,"sodaTypeIsSpecialExplosive":false,"sodaTypeIsSpecialFishes":false,"manualFillRows":[[[2,7],[3,7],[4,7],[5,7],[6,7]],[[2,6],[3,6],[4,6],[5,6],[6,6]],[[2,5],[3,5],[4,5],[5,5],[6,5]],[[2,4],[3,4],[4,4],[5,4],[6,4]],[[2,3],[3,3],[4,3],[5,3],[6,3]],[[2,2],[3,2],[4,2],[5,2],[6,2]],[[2,1],[3,1],[4,1],[5,1],[6,1]]]}]
L   2	[{"name":"SodaToTheBrimTask"},{"maxNumLemonadeBalloonsOnScreen":0,"numLemonadeDropsPerSplash":9,"autoFillLemonade":false,"spawnLemonadeBalloonAfterNumSwitches":0,"manualFillRows":[[[0,7],[1,7],[2,7],[3,7],[4,7],[5,7],[6,7],[7,7],[8,7]],[[0,6],[1,6],[2,6],[3,6],[4,6],[5,6],[6,6],[7,6],[8,6]],[[8,5],[7,5],[6,5],[5,5],[4,5],[3,5],[2,5],[1,5],[0,5]],[[0,4],[1,4],[2,4],[3,4],[4,4],[5,4],[6,4],[7,4],[8,4]],[[8,3],[7,3],[6,3],[5,3],[4,3],[3,3],[2,3],[1,3],[0,3]],[[0,2],[1,2],[2,2],[3,2],[4,2],[5,2],[6,2],[7,2],[8,2]],[[8,1],[7,1],[6,1],[5,1],[4,1],[3,1],[2,1],[1,1],[0,1]],[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0]]],"sodaTypeIsSpecialExplosive":false,"minNumLemonadeBalloonsOnScreen":0,"sodaTypeIsSpecialCorrosive":false,"name":"LemonadeSeaTask","sodaTypeIsSpecialFishes":false}]
L   3	[{"name":"SodaToTheBrimTask"},{"name":"LemonadeSeaTask","maxNumLemonadeBalloonsOnScreen":4,"minNumLemonadeBalloonsOnScreen":1,"spawnLemonadeBalloonAfterNumSwitches":4,"numLemonadeDropsPerSplash":9,"autoFillLemonade":false,"sodaTypeIsSpecialCorrosive":false,"sodaTypeIsSpecialExplosive":false,"sodaTypeIsSpecialFishes":false,"manualFillRows":[[[0,7],[1,7],[2,7],[3,7],[4,7],[5,7],[6,7],[7,7],[8,7]],[[0,6],[1,6],[2,6],[3,6],[4,6],[5,6],[6,6],[7,6],[8,6]],[[2,5],[3,5],[4,5],[5,5],[6,5]],[[2,4],[3,4],[4,4],[5,4],[6,4]],[[2,3],[3,3],[4,3],[5,3],[6,3]],[[0,2],[1,2],[3,2],[4,2],[5,2],[7,2],[8,2]],[[0,1],[1,1],[3,1],[4,1],[5,1],[7,1],[8,1]],[[1,0],[3,0],[4,0],[5,0],[7,0]]]}]
L   4	[{"name":"SodaToTheBrimTask"},{"name":"LemonadeSeaTask","manualFillRows":[[[0,7],[1,7],[2,7],[3,7],[4,7],[5,7],[6,7],[7,7],[8,7]],[[1,6],[0,6],[2,6],[6,6],[7,6],[8,6],[3,6],[4,6],[5,6]],[[0,5],[1,5],[2,5],[4,5],[6,5],[7,5],[8,5],[3,5],[5,5]],[[0,4],[1,4],[2,4],[4,4],[6,4],[7,4],[8,4],[3,4],[5,4]],[[0,3],[1,3],[2,3],[6,3],[7,3],[8,3],[3,3],[4,3],[5,3]],[[2,2],[1,2],[0,2],[6,2],[7,2],[8,2]],[[0,1],[1,1],[2,1],[4,1],[6,1],[7,1],[8,1]],[[8,0],[7,0],[6,0],[4,0],[2,0],[1,0],[0,0]]],"autoFillLemonade":false,"spawnLemonadeBalloonAfterNumSwitches":3,"minNumLemonadeBalloonsOnScreen":2,"numLemonadeDropsPerSplash":9,"maxNumLemonadeBalloonsOnScreen":4}]
L   5	[{"name":"SodaToTheBrimTask"},{"name":"LemonadeSeaTask","maxNumLemonadeBalloonsOnScreen":2,"minNumLemonadeBalloonsOnScreen":2,"spawnLemonadeBalloonAfterNumSwitches":0,"numLemonadeDropsPerSplash":9,"autoFillLemonade":false,"sodaTypeIsSpecialCorrosive":false,"sodaTypeIsSpecialExplosive":false,"sodaTypeIsSpecialFishes":false,"manualFillRows":[[[0,7],[1,7],[2,7],[3,7],[4,7],[5,7],[6,7],[7,7],[8,7]],[[0,6],[1,6],[2,6],[3,6],[4,6],[5,6],[6,6],[7,6],[8,6]],[[0,5],[1,5],[2,5],[3,5],[4,5],[5,5],[6,5],[7,5],[8,5]],[[0,4],[1,4],[2,4],[3,4],[4,4],[5,4],[6,4],[7,4],[8,4]],[[0,3],[1,3],[2,3],[3,3],[4,3],[5,3],[6,3],[7,3],[8,3]],[[0,2],[1,2],[2,2],[3,2],[4,2],[5,2],[6,2],[7,2],[8,2]],[[0,1],[1,1],[2,1],[3,1],[4,1],[5,1],[6,1],[7,1],[8,1]],[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0]]]}]
L   6	[{"name":"Bear Memory","preferredNumberOfGiantFishes":20,"preferredNumberOfGiantBears":50}]
L   7	[{"name":"Bear Memory","preferredNumberOfGiantFishes":20,"preferredNumberOfGiantBears":5}]
L   8	[{"preferredNumberOfGiantFishes":20,"name":"Bear Memory","preferredNumberOfGiantBears":50}]
L   9	[{"name":"ItemToTargetTask"},{"name":"LemonadeSeaTask","maxNumLemonadeBalloonsOnScreen":0,"minNumLemonadeBalloonsOnScreen":0,"spawnLemonadeBalloonAfterNumSwitches":0,"numLemonadeDropsPerSplash":9,"autoFillLemonade":true,"sodaTypeIsSpecialCorrosive":false,"sodaTypeIsSpecialExplosive":false,"sodaTypeIsSpecialFishes":false}]
L  10	[{"name":"ItemToTargetTask"},{"minNumLemonadeBalloonsOnScreen":0,"sodaTypeIsSpecialCorrosive":false,"numLemonadeDropsPerSplash":9,"sodaTypeIsSpecialExplosive":false,"maxNumLemonadeBalloonsOnScreen":0,"autoFillLemonade":true,"name":"LemonadeSeaTask","manualFillRows":[],"sodaTypeIsSpecialFishes":false,"spawnLemonadeBalloonAfterNumSwitches":0}]
L  11	[{"name":"ItemToTargetTask"},{"minNumLemonadeBalloonsOnScreen":0,"manualFillRows":[],"numLemonadeDropsPerSplash":9,"sodaTypeIsSpecialExplosive":false,"sodaTypeIsSpecialCorrosive":false,"sodaTypeIsSpecialFishes":false,"name":"LemonadeSeaTask","maxNumLemonadeBalloonsOnScreen":0,"spawnLemonadeBalloonAfterNumSwitches":0,"autoFillLemonade":false}]
