L   1	[[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]],[[0],[0],[2,101,412],[413,101,2],[2,101,410],[101,340,416],[2,101,412],[0],[0],[0],[0],[2,104,411],[2,104],[2,104],[2,104,414],[2,104]],[[0],[0],[2,411],[411,340],[415,340],[413,2],[2,411],[0],[0],[0],[0],[2,411],[2,411],[2,412],[2,410],[2]],[[0],[0],[2,412],[414,340],[410,420],[2,411],[2,412],[0],[0],[0],[0],[2],[2,411],[2,414],[2,413],[2]],[[0],[0],[2,413],[2,412],[414,2],[2,414],[340,410],[0],[0],[0],[0],[2,101,411],[2,101,413],[2,101,412],[2,101,413],[2,101]],[[0],[0],[2,411],[2,415],[340,412],[2,413],[2,412],[0],[0],[0],[0],[0],[0],[0],[0],[0]],[[0],[0],[340,413],[2,415],[2,411],[2,413],[2,416],[0],[0],[0],[0],[2,101,320,411],[2,101,320,412],[2,101,320,410],[2,101,320,410],[2,101,320,411]],[[0],[0],[2,410,101],[2,413,101],[2,101,412],[340,101,416],[2,101,412],[0],[0],[0],[0],[2,320,413],[2,320,414],[2,320,413],[2,320,413],[2,320,413]],[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[2,320,412],[2,320,413],[2,320,414],[2,320,414],[2,320]],[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[2,320,103,413],[2,320,103,413],[2,320,103,412],[2,320,103],[2,320,103]]]
L   2	[[[2,104],[2,104],[2,104],[2,104],[2,104],[2,104],[2,104],[2,104],[2,104]],[[2],[2],[2],[2],[2],[2],[2],[2],[2]],[[2],[340,3],[2],[2],[2],[2],[2],[340,3],[2]],[[2],[2],[2],[340,3],[2],[340,3],[2],[2],[2]],[[2],[2],[2],[2],[2],[2],[2],[2],[2]],[[2],[2],[2],[340,3],[2],[340,3],[2],[2],[2]],[[2],[340,3],[2],[2],[2],[2],[2],[340,3],[2]],[[2],[2],[2],[2],[2],[2],[2],[2],[2]],[[2,103,320],[2,103,320],[2,103,320],[2,103,320],[2,103,320],[2,103,320],[2,103,320],[2,103,320],[2,103,320]]]
L   3	[[[0],[2,413],[0],[1],[1],[1],[0],[2,412],[0]],[[3,2,413],[2,414],[0],[1],[1],[1],[0],[2,410],[3,2,412]],[[2,413,103],[2,413,103,3],[0],[1],[1],[1],[0],[2,412,103,3],[2,412,103]],[[0],[0],[1],[1],[1],[1],[1],[0],[0]],[[340,411],[0],[1],[1],[1],[1],[1],[0],[340,415]],[[0],[0],[1],[1],[1],[1],[1],[0],[0]],[[2,414],[1],[1],[1],[2,410],[1],[1],[1],[2,413]],[[2,412],[2,413],[2,411],[2,411],[2,412],[2,414],[2,414],[2,413],[2,412]],[[2,103,320,413],[2,103,320,414],[103,320,2,410],[2,103,320,410],[320,413,2,103],[2,320,411],[320,2,411,103],[2,103,320,412],[2,103,320,412]],[[0],[0],[0],[0],[0],[340,103,410,320],[0],[0],[0]]]
L   4	[[[2,104,410],[2,104,410],[2,104,413],[0],[104,4],[0],[2,104,413],[2,104,410],[2,104,410]],[[2,410],[2,411],[2,411],[0],[410,420],[0],[2,411],[2,411],[2,410]],[[2,412],[2,412],[2,411],[0],[0],[0],[2,411],[2,412],[2,412]],[[2,3,410],[3,340,414],[2,3,410],[2,104,3,410],[2,104,3,414],[2,104,3,410],[2,3,410],[3,340,414],[2,3,410]],[[2,413],[2,413],[2,411],[2,414],[2,413],[2,414],[2,411],[2,413],[2,413]],[[2,413],[2,412],[2,411],[2,414],[2,413],[2,414],[2,411],[2,412],[2,413]],[[2,410],[2,415],[2,415],[2,410],[2,411],[2,410],[2,415],[2,415],[2,410]],[[2,412],[2,411],[2,413],[2,412],[2,411],[2,412],[2,413],[2,411],[2,412]],[[2,103,320,412],[2,103,320,411],[2,103,320,413],[2,103,320,412],[2,103,320,410],[2,103,320,412],[2,103,320,413],[2,103,320,411],[2,103,320,412]]]
L   5	[[[2,104,410],[2,104,410],[2,104,414],[2,104,413],[2,104,415],[2,104,413],[2,104,414],[2,104,410],[2,104,410]],[[2,410],[340,3,412],[2,414],[2,3,412],[2,415,3],[2,3,412],[2,414],[340,3,414],[2,410]],[[2,416],[2,415],[2,415],[2,3,412],[2,413],[2,3,412],[2,415],[2,415],[2,416]],[[2,413],[2,3,412],[2,3,412],[3,340,411],[2,413],[3,340,414],[2,3,412],[2,3,412],[2,413]],[[2,415],[2,415],[2,413],[2,413],[2,412],[2,413],[2,413],[2,415],[2,415]],[[2,413],[2,3,412],[2,3,412],[3,340,414],[2,413],[3,411,340],[2,3,412],[2,3,412],[2,413]],[[2,411],[2,415],[2,413],[2,3,412],[2,413],[2,3,412],[2,413],[2,415],[2,411]],[[2,410],[340,3,414],[2,414],[2,3,412],[2,415,3],[2,3,412],[2,414],[340,3,412],[2,410]],[[2,103,320,410],[2,103,320,410],[2,103,320,414],[2,103,320,413],[2,103,320,415],[2,103,320,413],[2,103,320,414],[2,103,320,410],[2,103,320,410]]]
L   6	[[[0],[0],[2,104],[2,104],[2,104],[2,104],[2,104],[2,104],[0]],[[0],[2],[2],[2],[2],[2],[2],[2],[2]],[[0],[2],[2],[2,213],[2],[2],[2],[2],[2]],[[0],[2],[2],[2],[2],[2],[2],[2],[2]],[[0],[2],[2],[2,200,410],[2,200],[2,200,411],[2,212],[2],[2]],[[0],[2],[2,413],[2,200,412],[2,200,411],[2,200,413],[2,200,411],[2,200],[2]],[[0],[2],[2,211,410],[2,200,411],[2,200,412],[2,200,412],[2,200,413],[2,200],[2]],[[0],[2],[2,200,413],[2,200,413],[2,200,410],[2,200,410],[2,200,413],[2,200],[2]],[[0],[0],[2],[2],[2],[2],[2],[2],[0]]]
L   7	[[[2,104,200],[2,104,200],[2,104,200],[2,104,200],[2,104,200],[2,104,200],[2,104,200],[2,104,200],[2,104,200]],[[2,200],[2],[2],[2],[2],[2],[2],[2],[2,200]],[[2,200,211],[2],[200,3,420],[2,200,214],[2,200,214],[2,200],[200,3,420],[2],[2,200,211]],[[2,200,211],[2],[2,200,211],[2],[2],[2],[2,200,211],[2],[2,200,211]],[[2,200,211],[2],[2,200,211],[2],[2,200,3],[2],[2,200,211],[2],[2,200,211]],[[2,200,211],[2],[2,200],[2],[2],[2],[2,200],[2],[2,200,211]],[[2,200],[2],[200,3,420],[2,200,214],[2,200,214],[2,200],[200,3,420],[2],[2,200]],[[2,200],[2],[2],[2],[2],[2],[2],[2],[2,200]],[[2,200],[2,200],[2,200,214],[2,200,214],[2,200,214],[2,200,214],[2,200],[2,200],[2,200]]]
L   8	[[[104,201,53,212],[104,201,53],[104,201,53,214],[2,104,201],[2,104,201],[2,104,201,214],[104,201,53],[104,201,53,212],[104,201,53]],[[201,53],[201,53],[201,53,211],[2,201,211],[2,201,211],[2,201,211],[201,53,211],[201,53],[201,53]],[[201,53],[201,53],[201,53],[2,201],[2,201],[2,201],[201,53],[201,53],[201,53]],[[201,53],[201,53],[201,53,211],[2,201,213],[2,201],[2,201],[201,53,211],[201,53],[201,53]],[[201,214,7],[201,53],[201,53],[2,201],[2,201],[2,201],[201,53],[201,53,214],[201,7]],[[201,53,212],[201,53],[201,53,211],[201,53],[201,53],[201,53],[201,53,211],[201,53,212],[201,53]],[[201,53],[201,53],[201,53],[201,53],[201,53],[201,53],[201,53],[201,53],[201,53]],[[201,53],[201,53],[201,53,211],[201,53],[201,53],[201,53],[201,53,211],[201,53],[201,53]],[[201,5],[201,53],[201,420],[201,53],[201,6],[201,53],[201,420],[201,53],[201,5]]]
L   9	[[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]],[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]],[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]],[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320]],[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320]],[[0],[0],[2,361,320,410],[2,361,320,412],[2,361,320,412],[2,361,320,410],[2,361,320,410],[0],[0],[0],[0],[0],[2,361,320,413],[2,361,320,413],[2,361,320,410],[0],[0],[0],[0],[2,361,320],[2,361,320],[2,361,320],[2,361,320],[2,361,320],[2,361,320],[2,361,320]],[[0],[0],[2,320,410],[2,320,414],[2,320,411],[2,320,414],[2,320,413],[0],[0],[0],[0],[0],[2,320,414],[2,320,414],[2,320,410],[0],[0],[0],[0],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320]],[[0],[0],[2,320,413],[2,320,411],[2,320,410],[2,320,411],[2,320,413],[0],[0],[0],[0],[0],[2,320,415],[2,320,411],[2,320,413],[0],[0],[0],[0],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320]],[[0],[0],[2,320,413],[2,320,413],[360,320],[2,320,412],[2,320,410],[0],[0],[0],[0],[0],[2,320,415],[2,320,410],[2,320,411],[0],[0],[0],[0],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320]],[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[2,320,412],[2,320,411],[320,2,414],[0],[0],[0],[0],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320]],[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[2,320,414],[320,360],[2,320,414],[0],[0],[0],[0],[2,103,320],[2,103,320],[2,103,320],[103,320,360],[2,103,320],[2,103,320],[2,103,320]]]
L  10	[[[2,320],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320],[2,320]],[[2,320],[2,320],[2,320],[2,320],[320,2],[2,320],[2,320],[2,320],[2,320]],[[2,320],[2,320],[2,320],[2,320],[320,420],[2,320],[2,320],[2,320],[2,320]],[[2,320],[2,320],[2,320],[2,320,103],[2,320,103],[2,320,103],[2,320],[2,320],[2,320]],[[2,320],[320,420,3],[2,320],[0],[0],[0],[2,320],[320,420,3],[2,320]],[[2,320],[2,320],[2,320],[0],[320,361],[0],[2,320],[2,320],[2,320]],[[2,320],[2,320],[2,320],[0],[52,320],[0],[2,320],[2,320],[2,320]],[[320,3,6],[2,320],[2,320],[0],[52,320],[0],[2,320],[2,320],[320,3,6]],[[2,103,320],[2,103,320],[2,103,320],[0],[360,320,3],[0],[2,103,320],[2,103,320],[2,103,320]]]
