L0102
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2,104], [2,104], [2,104], [2,104], [2,104], [2,104], [2,104], [2,104], [2,104], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [2], [2], [2], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [2], [2], [2], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [2], [2], [2], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [2], [1,2], [2], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [2,505], [2,505], [2,505], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [505,5], [505], [165], [505], [505,6], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2,505], [2,505], [505], [505], [505], [2,505], [2,505], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2,505], [2,505], [505,7], [2,505], [2,505], [2,505], [505,7], [2,505], [2,505], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[2,101], [2,101], [2,101], [2,101], [2,101], [2,101], [2,101], [2,101], [2,505,101], [2], [2], [2], [2], [2], [2], [2], [2], [2], [2,505,104], [2,104], [2,104], [2,104], [2,104], [2,104], [2,104], [2,104], [2,104]]
[[2,505], [1,2], [1,2], [2], [2], [2], [2], [2], [2,505], [2], [2], [2], [2], [2], [2], [2], [2], [2], [2,505], [2], [2], [2], [2], [2], [2], [2], [2]]
[[505], [505], [2], [2], [2], [2], [2], [2], [2,505], [2], [2], [2], [2,505], [2,505], [2,505], [2], [2], [2], [2,505], [2], [2], [2], [2], [2], [2], [2], [1,2]]
[[505], [2,505], [505,5], [2], [2], [2], [2], [2], [2,505], [2], [2], [2,505], [2,505], [2,505], [2,505], [2,505], [2], [2], [2,505], [504], [504], [504], [504], [504], [504], [2,505], [2,505]]
[[2,505], [165], [505], [2,505], [1,2], [2], [2], [2], [2,505], [2], [2], [2,505], [2,505], [165], [2,505], [2,505], [2], [2], [2,505], [2], [2], [2], [1,2], [2], [2], [2,505], [165]]
[[505,4], [2,505], [505,4], [165], [2,505], [2], [2], [2], [2,505], [2], [2], [2,505], [2,505], [2,505], [2,505], [2,505], [2], [2], [2,505], [504], [504], [504], [504], [504], [504], [2,505], [2,505]]
[[2,505], [505], [505], [505], [505,7], [505], [2], [2], [2,505], [2], [2], [2], [2,505], [2,505], [2,505], [2], [2], [2], [2,505], [2], [2], [2], [1,2], [2], [2], [2,505], [165]]
[[505], [165], [505,6], [505,2], [165], [505], [2,505], [2], [2,505], [2], [2], [2], [2], [1,2], [1,2], [1,2], [2], [2], [2,505], [504], [504], [504], [504], [504], [504], [2,505], [2,505]]
[[505,7], [505], [505], [505,4], [505], [2,505], [2,505], [2,505], [2,505], [2], [2], [2], [2], [2], [2], [2], [2], [2], [2,505,101], [2,101], [2,101], [2,101], [2,101], [2,101], [2,101], [2,505,101], [2,505,101]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [2], [2], [2], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [2], [2], [2], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [2], [2], [2], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [5,505], [505], [5,505], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [505], [5,505], [505], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [2], [2], [2], [505], [505], [505], [2], [2], [2], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [505], [505], [505,5], [505], [505], [505], [505,5], [505], [505], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [505], [165], [505], [505], [165], [505], [505], [165], [505], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
[[0], [0], [0], [0], [0], [0], [0], [0], [0], [505], [505], [505], [505], [505], [505], [505], [505], [505], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
(27×27)
