L   1	[{"item":2,"quantity":15}]
L   2	[{"item":17,"quantity":28}]
L   3	[{"item":8,"quantity":6}]
L   4	[{"item":17,"quantity":29}]
L   5	[{"item":17,"quantity":25},{"item":7,"quantity":3}]
L   6	[{"item":17,"quantity":35},{"item":7,"quantity":5}]
L   7	[{"item":2,"quantity":40}]
L  11	[{"item": 2, "quantity": 60}]
L  12	[{"item": 4, "quantity": 65}]
L  15	[{"item":17,"quantity":50}]
L  20	[{"item": 17, "quantity": 41}]
L  29	[{"item": 17, "quantity": 21}, {"item": 2, "quantity": 90}, {"item": 6, "quantity": 90}]
L  33	[{"item": 17, "quantity": 37}]
L  36	[{"item": 19, "quantity": 42}]
L  37	[{"item": 19, "quantity": 58}]
L  44	[{"item": 17, "quantity": 34}]
L  47	[{"item": 21, "quantity": 20}]
L  51	[{"item": 17, "quantity": 39}]
L  55	[{"item": 8, "quantity": 15}, {"item": 17, "quantity": 48}, {"item": 19, "quantity": 24}]
L  60	[{"item": 19, "quantity": 26}, {"item": 17, "quantity": 24}]
L  62	[{"item": 8, "quantity": 25}, {"item": 17, "quantity": 61}]
L  65	[{"item": 17, "quantity": 77}]
L  71	[{"item": 17, "quantity": 52}]
L  80	[{"item": 17, "quantity": 37}, {"item": 19, "quantity": 8}]
L  82	[{"item": 17, "quantity": 115}]
L  85	[{"item": 17, "quantity": 41}]
L  87	[{"item": 17, "quantity": 26}, {"item": 19, "quantity": 29}]
L  90	[{"item": 17, "quantity": 24}, {"item": 5, "quantity": 175}]
L  92	[{"item": 19, "quantity": 38}]
L  95	[{"item": 17, "quantity": 71}, {"item": 19, "quantity": 19}]
L  96	[{"item": 20, "quantity": 9}]
L  98	[{"item": 20, "quantity": 21}, {"item": 8, "quantity": 16}]
L 101	[{"item": 19, "quantity": 28}]
L 104	[{"item": 21, "quantity": 5}]
L 108	[{"item": 19, "quantity": 28}]
L 112	[{"item": 2, "quantity": 80}, {"item": 20, "quantity": 20}]
L 113	[{"item": 19, "quantity": 30}, {"item": 20, "quantity": 50}]
L 115	[{"item": 17, "quantity": 45}, {"item": 19, "quantity": 25}]
L 118	[{"item": 17, "quantity": 73}]
L 121	[{"item": 17, "quantity": 42}, {"item": 19, "quantity": 16}, {"item": 20, "quantity": 20}]
L 124	[{"item": 20, "quantity": 20}, {"item": 6, "quantity": 80}, {"item": 2, "quantity": 80}]
L 128	[{"item": 3, "quantity": 18}, {"item": 17, "quantity": 46}, {"item": 19, "quantity": 9}]
L 132	[{"item": 20, "quantity": 9}, {"item": 2, "quantity": 80}, {"item": 6, "quantity": 80}]
L 134	[{"item": 19, "quantity": 50}, {"item": 4, "quantity": 55}, {"item": 5, "quantity": 55}]
L 136	[{"item": 20, "quantity": 18}, {"item": 2, "quantity": 120}, {"item": 19, "quantity": 22}]
L 140	[{"item": 17, "quantity": 64}]
L 144	[{"item": 17, "quantity": 121}]
L 147	[{"item": 16, "quantity": 10}, {"item": 17, "quantity": 47}]
L 150	[{"item": 19, "quantity": 28}]
L 152	[{"item": 17, "quantity": 78}]
L 156	[{"item": 17, "quantity": 168}]
L 159	[{"item": 17, "quantity": 52}]
L 162	[{"item": 20, "quantity": 7}]
