L 306	[[[0, 5], [1, 5], [1], [1]], [[1, 5], [2, 5], [1], [0]], [[2, 5], [3, 5], [1], [0]], [[3, 5], [4, 5], [1], [0]], [[5, 5], [6, 5], [1], [0]], [[6, 5], [7, 5], [1], [0]], [[7, 5], [8, 5], [1], [0]], [[8, 5], [0, 5], [1], [1]], [[4, 5], [5, 5], [1], [0]]]
L 307	[[[0, 0], [0, 1], [2], [1]], [[0, 1], [0, 2], [2], [0]], [[0, 2], [0, 3], [2], [0]], [[0, 3], [0, 4], [2], [0]], [[0, 4], [0, 5], [2], [0]], [[0, 5], [0, 6], [2], [0]], [[0, 6], [0, 7], [2], [0]], [[0, 7], [0, 8], [2], [0]], [[8, 8], [8, 7], [0], [2]], [[8, 7], [8, 6], [0], [0]], [[8, 6], [8, 5], [0], [0]], [[8, 5], [8, 4], [0], [0]], [[8, 4], [8, 3], [0], [0]], [[8, 3], [8, 2], [0], [0]], [[8, 2], [8, 1], [0], [0]], [[8, 1], [8, 0], [0], [0]], [[2, 4], [3, 4], [1], [3]], [[3, 4], [4, 4], [1], [0]], [[4, 4], [5, 4], [1], [0]], [[5, 4], [6, 4], [1], [0]], [[6, 4], [2, 4], [1], [3]], [[8, 0], [8, 8], [0], [2]], [[0, 8], [0, 0], [2], [1]]]
L 308	[[[4, 8], [4, 7], [0], [1]], [[4, 7], [4, 6], [0], [0]], [[4, 6], [4, 5], [0], [0]], [[4, 5], [4, 3], [0], [1]], [[4, 3], [4, 2], [0], [1]], [[4, 2], [4, 1], [0], [0]], [[4, 1], [4, 0], [0], [0]], [[4, 0], [4, 8], [0], [1]]]
L 311	[[[4, 3], [4, 4], [2], [0]], [[4, 4], [4, 5], [2], [0]], [[4, 5], [4, 6], [2], [0]], [[4, 7], [4, 2], [2], [2]], [[4, 6], [4, 7], [2], [0]], [[4, 2], [4, 3], [2], [2]]]
L 313	[[[0, 8], [1, 8], [1], [2]], [[1, 8], [2, 8], [1], [0]], [[2, 8], [3, 8], [1], [0]], [[3, 8], [4, 8], [1], [0]], [[4, 8], [5, 8], [1], [0]], [[5, 8], [6, 8], [1], [0]], [[6, 8], [0, 8], [1], [2]]]
L 316	[[[0, 0], [1, 0], [1], [0]], [[1, 0], [2, 0], [1], [0]], [[2, 0], [3, 0], [1], [0]], [[3, 0], [4, 0], [1], [0]], [[4, 0], [5, 0], [1], [0]], [[5, 0], [6, 0], [1], [0]], [[6, 0], [7, 0], [1], [0]], [[7, 0], [8, 0], [1], [0]], [[8, 6], [7, 6], [3], [0]], [[7, 6], [6, 6], [3], [0]], [[6, 6], [5, 6], [3], [0]], [[5, 6], [4, 6], [3], [0]], [[4, 6], [3, 6], [3], [0]], [[3, 6], [2, 6], [3], [0]], [[2, 6], [1, 6], [3], [0]], [[1, 6], [0, 6], [3], [0]], [[0, 5], [0, 4], [0], [0]], [[0, 4], [0, 3], [0], [0]], [[0, 3], [0, 2], [0], [0]], [[0, 2], [0, 1], [0], [0]], [[0, 1], [0, 0], [0], [0]], [[0, 6], [0, 5], [0], [0]], [[8, 1], [8, 2], [2], [0]], [[8, 2], [8, 3], [2], [0]], [[8, 3], [8, 4], [2], [0]], [[8, 4], [8, 5], [2], [0]], [[8, 5], [8, 6], [2], [0]], [[8, 0], [8, 1], [2], [0]]]
L 319	[[[0, 8], [1, 8], [1], [2]], [[1, 8], [2, 8], [1], [0]], [[2, 8], [3, 8], [1], [0]], [[3, 8], [0, 8], [1], [2]], [[8, 8], [7, 8], [3], [1]], [[7, 8], [6, 8], [3], [0]], [[6, 8], [5, 8], [3], [0]], [[5, 8], [8, 8], [3], [1]]]
L 321	[[[8, 0], [7, 0], [3], [3]], [[7, 0], [6, 0], [3], [0]], [[6, 0], [5, 0], [3], [0]], [[5, 0], [4, 0], [3], [0]], [[4, 0], [3, 0], [3], [0]], [[3, 0], [2, 0], [3], [0]], [[2, 0], [1, 0], [3], [0]], [[1, 0], [0, 0], [3], [0]], [[0, 0], [1, 1], [3], [3]], [[1, 1], [2, 1], [1], [3]], [[2, 1], [3, 1], [1], [0]], [[3, 1], [4, 1], [1], [0]], [[4, 1], [5, 1], [1], [0]], [[5, 1], [6, 1], [1], [0]], [[6, 1], [7, 1], [1], [0]], [[7, 1], [6, 2], [1], [3]], [[6, 2], [5, 2], [3], [3]], [[5, 2], [4, 2], [3], [0]], [[4, 2], [3, 2], [3], [0]], [[3, 2], [2, 2], [3], [0]], [[2, 2], [3, 3], [3], [3]], [[3, 3], [4, 3], [1], [3]], [[4, 3], [5, 3], [1], [0]], [[5, 3], [8, 0], [1], [3]]]
L 324	[[[6, 5], [6, 6], [2], [3]], [[6, 6], [6, 7], [2], [0]], [[6, 7], [6, 8], [2], [0]], [[6, 8], [6, 5], [2], [3]], [[4, 5], [4, 6], [2], [3]], [[4, 6], [4, 7], [2], [0]], [[4, 7], [4, 8], [2], [0]], [[4, 8], [4, 5], [2], [3]]]
L 329	[[[0, 2], [1, 2], [1], [2]], [[1, 2], [2, 2], [1], [0]], [[2, 2], [3, 2], [1], [0]], [[3, 2], [4, 2], [1], [0]], [[4, 2], [5, 2], [1], [0]], [[5, 2], [6, 2], [1], [0]], [[6, 2], [7, 2], [1], [0]], [[7, 2], [8, 2], [1], [0]], [[8, 2], [0, 2], [1], [2]], [[8, 6], [7, 6], [3], [3]], [[7, 6], [6, 6], [3], [0]], [[6, 6], [5, 6], [3], [0]], [[5, 6], [4, 6], [3], [0]], [[4, 6], [3, 6], [3], [0]], [[3, 6], [2, 6], [3], [0]], [[2, 6], [1, 6], [3], [0]], [[1, 6], [0, 6], [3], [0]], [[0, 6], [8, 6], [3], [3]]]
