L  10	[[[1, 2, 14], [1, 4, 14]], [[1, 4, 14], [1, 6, 14]], [[1, 6, 14], [1, 8, 14]], [[7, 2, 14], [7, 4, 14]], [[7, 4, 14], [7, 6, 14]], [[7, 6, 14], [7, 8, 14]], [[0, 2, 14], [0, 4, 14]], [[0, 4, 14], [0, 6, 14]], [[0, 6, 14], [0, 8, 14]], [[8, 2, 14], [8, 4, 14]], [[8, 4, 14], [8, 6, 14]], [[8, 6, 14], [8, 8, 14]]]
L  13	[[[0,1,14],[0,4,14]],[[0,4,14],[8,4,14]],[[8,4,14],[8,7,14]]]
L  15	[[[0,2,14],[0,6,14]],[[8,2,14],[8,6,14]]]
L  19	[[[1,1,14],[1,3,14]],[[7,1,14],[7,3,14]],[[0,4,14],[0,6,14]],[[1,4,14],[1,6,14]],[[7,4,14],[7,6,14]],[[8,4,14],[8,6,14]]]
L  30	[[[7, 2, 14], [7, 5, 14]], [[8, 2, 14], [8, 5, 14]]]
L  31	[[[6,1,14],[8,2,14]],[[5,2,14],[7,3,14]],[[4,3,14],[6,4,14]],[[3,4,14],[5,5,14]],[[1,5,14],[4,6,14]]]
L  32	[[[0, 7, 14], [7, 1, 14]], [[1, 7, 14], [8, 1, 14]]]
L  46	[[[0, 3, 14], [0, 5, 14]], [[1, 3, 14], [1, 5, 14]], [[2, 3, 14], [2, 5, 14]], [[3, 3, 14], [3, 5, 14]], [[4, 3, 14], [4, 5, 14]]]
L  47	[[[0, 8, 14], [3, 1, 14]], [[8, 8, 14], [5, 1, 14]]]
L  48	[[[3, 2, 14], [3, 4, 14]]]
L  53	[[[0, 4, 14], [0, 6, 14]], [[1, 4, 14], [1, 6, 14]], [[7, 4, 14], [7, 6, 14]], [[8, 4, 14], [8, 6, 14]], [[4, 4, 14], [4, 6, 14]], [[2, 2, 14], [2, 4, 14]], [[3, 1, 14], [3, 4, 14]], [[5, 1, 14], [5, 4, 14]], [[6, 2, 14], [6, 4, 14]]]
L  57	[[[0, 8, 14], [3, 0, 14]], [[1, 8, 14], [4, 0, 14]], [[2, 8, 14], [5, 0, 14]], [[3, 8, 14], [6, 0, 14]], [[4, 8, 14], [7, 0, 14]], [[5, 8, 14], [8, 0, 14]]]
L  59	[[[0, 0, 14], [0, 2, 14]], [[1, 1, 14], [1, 3, 14]], [[2, 2, 14], [2, 4, 14]], [[0, 4, 14], [0, 6, 14]], [[1, 5, 14], [1, 7, 14]], [[2, 6, 14], [2, 8, 14]], [[6, 2, 14], [6, 4, 14]], [[7, 1, 14], [7, 3, 14]], [[8, 0, 14], [8, 2, 14]], [[6, 6, 14], [6, 8, 14]], [[7, 5, 14], [7, 7, 14]], [[8, 4, 14], [8, 6, 14]]]
L  60	[[[0, 4, 14], [5, 0, 14]], [[1, 4, 14], [6, 0, 14]], [[2, 4, 14], [7, 0, 14]], [[3, 4, 14], [8, 0, 14]]]
L  61	[[[0, 3, 14], [4, 0, 14]], [[0, 8, 14], [6, 0, 14]]]
L  64	[[[0, 2, 14], [0, 4, 14]], [[8, 2, 14], [8, 4, 14]]]
L  73	[[[3, 2, 14], [3, 6, 14]], [[5, 2, 14], [5, 6, 14]]]
L  99	[[[0, 2, 14], [0, 6, 14]], [[1, 3, 14], [1, 5, 14]], [[8, 2, 14], [8, 6, 14]], [[7, 3, 14], [7, 5, 14]]]
L 105	[[[0, 3, 14], [0, 5, 14]], [[1, 3, 14], [1, 5, 14]], [[2, 3, 14], [2, 5, 14]], [[6, 3, 14], [6, 5, 14]], [[7, 3, 14], [7, 5, 14]], [[8, 3, 14], [8, 5, 14]]]
L 107	[[[3, 6, 14], [3, 8, 14]], [[4, 6, 14], [4, 8, 14]], [[5, 6, 14], [5, 8, 14]]]
L 108	[[[3, 0, 14], [3, 2, 14]], [[4, 0, 14], [4, 2, 14]], [[3, 2, 14], [3, 4, 14]], [[4, 2, 14], [4, 4, 14]]]
L 111	[[[0, 3, 14], [0, 5, 14]], [[5, 3, 14], [5, 5, 14]]]
L 112	[[[6, 3, 14], [2, 6, 14]]]
L 114	[[[1, 3, 14], [1, 5, 14]], [[0, 6, 14], [0, 8, 14]], [[7, 3, 14], [7, 5, 14]], [[8, 6, 14], [8, 8, 14]]]
L 115	[[[3, 5, 14], [3, 7, 14]], [[5, 5, 14], [5, 7, 14]], [[7, 5, 14], [7, 7, 14]]]
L 117	[[[4, 2, 14], [4, 4, 14]], [[6, 2, 14], [7, 0, 14]], [[7, 0, 14], [8, 0, 14]], [[8, 1, 14], [0, 3, 14]], [[2, 2, 14], [1, 0, 14]], [[1, 0, 14], [0, 0, 14]], [[0, 1, 14], [8, 3, 14]]]
L 120	[[[2, 0, 14], [3, 2, 14]], [[1, 0, 14], [2, 2, 14]], [[0, 0, 14], [1, 3, 14]], [[6, 0, 14], [5, 2, 14]], [[7, 0, 14], [6, 2, 14]], [[8, 0, 14], [7, 3, 14]], [[8, 5, 14], [8, 7, 14]], [[7, 5, 14], [7, 7, 14]], [[0, 5, 14], [0, 7, 14]], [[1, 5, 14], [1, 7, 14]], [[4, 4, 14], [4, 6, 14]], [[5, 5, 14], [5, 7, 14]], [[3, 5, 14], [3, 7, 14]]]
L 122	[[[2, 3, 14], [2, 5, 14]], [[6, 3, 14], [6, 5, 14]], [[0, 4, 14], [3, 1, 14]], [[8, 4, 14], [5, 1, 14]]]
L 124	[[[3, 3, 14], [3, 5, 14]], [[4, 3, 14], [4, 5, 14]], [[5, 3, 14], [5, 5, 14]], [[6, 3, 14], [6, 5, 14]], [[7, 3, 14], [7, 5, 14]], [[8, 3, 14], [8, 5, 14]]]
L 125	[[[6, 3, 14], [6, 6, 14]], [[7, 4, 14], [7, 7, 14]], [[8, 5, 14], [8, 8, 14]], [[8, 8, 14], [2, 0, 14]], [[7, 8, 14], [1, 0, 14]], [[6, 8, 14], [3, 0, 14]], [[1, 3, 14], [1, 5, 14]], [[2, 3, 14], [2, 5, 14]], [[3, 3, 14], [3, 5, 14]], [[4, 3, 14], [4, 5, 14]], [[0, 3, 14], [0, 5, 14]]]
L 127	[[[2, 1, 14], [2, 3, 14]], [[2, 3, 14], [2, 5, 14]], [[2, 5, 14], [2, 7, 14]]]
L 128	[[[0, 0, 14], [0, 2, 14]], [[0, 2, 14], [0, 4, 14]], [[1, 2, 14], [1, 4, 14]], [[0, 4, 14], [0, 6, 14]], [[1, 4, 14], [1, 6, 14]], [[2, 4, 14], [2, 6, 14]], [[8, 0, 14], [8, 2, 14]], [[8, 2, 14], [8, 4, 14]], [[8, 4, 14], [8, 6, 14]], [[7, 2, 14], [7, 4, 14]], [[7, 4, 14], [7, 6, 14]], [[6, 4, 14], [6, 6, 14]]]
L 130	[[[0, 4, 14], [0, 6, 14]], [[2, 4, 14], [2, 6, 14]], [[4, 4, 14], [4, 6, 14]], [[6, 4, 14], [6, 6, 14]], [[8, 4, 14], [8, 6, 14]]]
L 132	[[[6, 0, 14], [6, 2, 14]], [[6, 2, 14], [6, 4, 14]], [[6, 4, 14], [6, 6, 14]], [[6, 6, 14], [6, 8, 14]], [[8, 1, 14], [8, 3, 14]], [[8, 3, 14], [8, 5, 14]], [[8, 5, 14], [8, 7, 14]], [[6, 8, 14], [3, 1, 14]], [[8, 7, 14], [4, 1, 14]]]
L 138	[[[0, 8, 14], [5, 0, 14]], [[1, 7, 14], [6, 0, 14]], [[2, 6, 14], [7, 0, 14]], [[3, 5, 14], [8, 0, 14]]]
L 140	[[[3, 3, 14], [3, 5, 14]]]
L 150	[[[0, 2, 14], [6, 6, 14]], [[1, 2, 14], [7, 6, 14]], [[2, 2, 14], [8, 6, 14]]]
L 153	[[[0, 3, 14], [0, 5, 14]], [[8, 8, 14], [8, 0, 14]]]
L 154	[[[0, 3, 14], [0, 5, 14]]]
L 155	[[[0, 2, 14], [0, 4, 14]], [[1, 2, 14], [1, 4, 14]], [[2, 2, 14], [2, 4, 14]], [[3, 2, 14], [3, 4, 14]], [[4, 2, 14], [4, 4, 14]]]
L 157	[[[4, 1, 14], [4, 7, 14]], [[3, 1, 14], [3, 7, 14]], [[2, 1, 14], [2, 7, 14]], [[5, 1, 14], [5, 7, 14]], [[6, 1, 14], [6, 7, 14]]]
L 159	[[[2, 5, 14], [2, 7, 14]], [[6, 5, 14], [6, 7, 14]]]
L 161	[[[2, 8, 14], [0, 0, 14]]]
L 164	[[[2, 8, 14], [3, 8, 14]], [[3, 8, 14], [4, 8, 14]], [[4, 8, 14], [5, 8, 14]], [[5, 8, 14], [6, 8, 14]], [[6, 8, 14], [7, 8, 14]], [[7, 8, 14], [8, 8, 14]], [[0, 0, 14], [0, 2, 14]], [[0, 2, 14], [0, 4, 14]], [[0, 4, 14], [0, 6, 14]]]
L 169	[[[2, 1, 14], [2, 3, 14]], [[6, 1, 14], [6, 3, 14]], [[1, 4, 14], [1, 6, 14]], [[7, 4, 14], [7, 6, 14]]]
L 172	[[[2, 3, 14], [2, 5, 14]], [[6, 3, 14], [6, 5, 14]]]
L 178	[[[0, 2, 14], [0, 4, 14]], [[1, 2, 14], [1, 4, 14]], [[1, 4, 14], [1, 6, 14]], [[1, 6, 14], [1, 8, 14]], [[7, 2, 14], [7, 4, 14]], [[8, 2, 14], [8, 4, 14]], [[7, 4, 14], [7, 6, 14]], [[7, 6, 14], [7, 8, 14]]]
L 180	[[[0, 0, 14], [0, 2, 14]], [[1, 1, 14], [1, 3, 14]], [[2, 2, 14], [2, 4, 14]], [[3, 3, 14], [3, 5, 14]], [[2, 4, 14], [2, 6, 14]], [[1, 5, 14], [1, 7, 14]], [[0, 6, 14], [0, 8, 14]]]
L 181	[[[0, 8, 14], [0, 1, 14]], [[8, 8, 14], [8, 1, 14]]]
L 182	[[[2, 1, 14], [2, 3, 14]], [[4, 1, 14], [4, 3, 14]], [[6, 1, 14], [6, 3, 14]], [[4, 4, 14], [4, 6, 14]], [[2, 4, 14], [2, 6, 14]], [[6, 4, 14], [6, 6, 14]], [[0, 2, 14], [0, 4, 14]], [[0, 4, 14], [0, 6, 14]], [[0, 6, 14], [0, 8, 14]], [[8, 2, 14], [8, 4, 14]], [[8, 4, 14], [8, 6, 14]], [[8, 6, 14], [8, 8, 14]]]
L 183	[[[0, 0, 14], [0, 2, 14]], [[8, 0, 14], [8, 2, 14]]]
