L   1	null
L   2	null
L   3	null
L   4	null
L   5	null
L   6	null
L   7	[]
L   8	[]
L   9	[]
L  10	[]
L  11	null
L  12	[]
L  13	[]
L  14	[]
L  15	[]
L  16	[]
L  17	[]
L  18	[]
L  19	[]
L  20	[]
L  21	[]
L  22	[]
L  23	[]
L  24	[]
L  25	[]
L  26	[]
L  27	[]
L  28	[]
L  29	[]
L  30	[]
L  31	[]
L  32	[]
L  33	[]
L  34	[]
L  35	[]
L  36	[]
L  37	[]
L  38	[]
L  39	[]
L  40	[]
L  41	[]
L  42	[]
L  43	[]
L  44	[]
L  45	[]
L  46	[]
L  47	[]
L  48	[]
L  49	[]
L  50	[]
L  51	[]
L  52	[]
L  53	[]
L  54	null
L  55	[]
L  56	[]
L  57	[]
L  58	[]
L  59	[]
L  60	[]
L  61	[]
L  62	[]
L  63	[]
L  64	[]
L  65	[]
L  66	[]
L  67	[]
L  68	[]
L  69	null
L  70	[]
L  71	[]
L  72	[]
L  73	[]
L  74	[]
L  75	[]
L  76	[]
L  77	[]
L  78	[]
L  79	[]
L  80	[]
L  81	[]
L  82	null
L  83	[]
L  84	[]
L  85	[]
L  86	[]
L  87	[]
L  88	[]
L  89	[]
L  90	[]
L  91	[]
L  92	[]
L  93	null
L  94	[]
L  95	[]
L  96	[]
L  97	[]
L  98	[]
L  99	[]
L 100	[]
L 101	[]
L 102	[]
L 103	[]
L 104	[]
L 105	[]
L 106	[]
L 107	[]
L 108	[]
L 109	[]
L 110	[]
L 111	[]
L 112	null
L 113	[]
L 114	null
L 115	[]
L 116	null
L 117	[]
L 118	null
L 119	null
L 120	null
L 121	[]
L 122	null
L 123	[]
L 124	[]
L 125	[]
L 126	[]
L 127	[]
L 128	[]
L 129	null
L 130	[]
L 131	null
L 132	[]
L 133	[]
L 134	[]
L 135	null
L 136	null
L 137	[]
L 138	null
L 139	[]
L 140	[]
L 141	[]
L 142	[]
L 143	null
L 144	[]
L 145	[]
L 146	[]
L 147	[]
L 148	null
L 149	[]
L 150	[]
L 151	[]
L 152	[]
L 153	[]
L 154	[]
L 155	[]
L 156	null
L 157	[]
L 158	[]
L 159	[]
L 160	[]
L 161	[]
L 162	[]
L 163	null
L 164	[]
L 165	[]
L 166	[]
L 167	[]
L 168	[]
L 169	[]
L 170	[]
L 171	[]
L 172	null
L 173	[]
L 174	[]
L 175	[]
L 176	null
L 177	[]
L 178	[]
L 179	null
L 180	[]
L 181	[]
L 182	[]
L 183	[]
L 184	[]
L 185	[]
L 186	null
L 187	[]
L 188	null
L 189	[]
L 190	[]
L 191	[]
L 192	[]
L 193	null
L 194	[]
L 195	[]
L 196	null
L 197	[]
L 198	[]
L 199	[]
L 200	[]
L 201	[]
L 202	null
L 203	null
L 204	[]
L 205	null
L 206	null
L 207	null
L 208	[]
L 209	null
L 210	null
L 211	[]
L 212	null
L 213	null
L 214	null
L 215	[]
L 216	null
L 217	null
L 218	null
L 219	null
L 220	null
L 221	null
L 222	null
L 223	[]
L 224	null
L 225	null
L 226	null
L 227	null
L 228	null
L 229	null
L 230	null
L 231	[]
L 232	null
L 233	null
L 234	null
L 235	[]
L 236	null
L 237	[]
L 238	[]
L 239	null
L 240	[]
L 241	null
L 242	[]
L 243	null
L 244	null
L 245	[]
L 246	[]
L 247	[]
L 248	[]
L 249	null
L 250	null
L 251	null
L 252	[]
L 253	[]
L 254	[]
L 255	null
L 256	[]
L 257	[]
L 258	null
L 259	null
L 260	null
L 261	null
L 262	null
L 263	[]
L 264	[]
L 265	[]
L 266	[]
L 267	[]
L 268	null
L 269	[]
L 270	[]
L 271	[]
L 272	[]
L 273	[]
L 274	[]
L 275	[]
L 276	null
L 277	[]
L 278	[]
L 279	null
L 280	[]
L 281	null
L 282	[]
L 283	[]
L 284	[]
L 285	[]
L 286	[]
L 287	null
L 288	[]
L 289	[]
L 290	[]
L 291	[]
L 292	null
L 293	[]
L 294	null
L 295	[]
L 296	[]
L 297	[]
L 298	null
L 299	null
L 300	null
L 301	null
L 302	[]
L 303	[]
L 304	[]
L 305	[]
L 306	[]
L 307	null
L 308	null
L 309	null
L 310	null
L 311	[]
L 312	null
L 313	[]
L 314	null
L 315	[]
L 316	null
L 317	null
L 318	null
L 319	null
L 320	null
L 321	[]
L 322	null
L 323	[]
L 324	null
L 325	null
L 326	null
L 327	null
L 328	[]
L 329	null
L 330	null
L 331	null
L 332	null
L 333	null
L 334	null
L 335	null
L 336	null
L 337	null
L 338	null
L 339	null
L 340	[]
L 341	[]
L 342	[]
L 343	[]
L 344	null
L 345	[]
L 346	null
L 347	[]
L 348	[]
L 349	[]
L 350	[]
L 351	null
L 352	null
L 353	null
L 354	[]
L 355	null
L 356	[]
L 357	[]
L 358	[]
L 359	null
L 360	null
L 361	[]
L 362	[]
L 363	null
L 364	null
L 365	[]
L 366	[]
L 367	null
L 368	[]
L 369	[]
L 370	null
L 371	[]
L 372	[]
L 373	[]
L 374	[]
L 375	[]
L 376	[]
L 377	[]
L 378	null
L 379	null
L 380	null
L 381	null
L 382	[]
L 383	[]
L 384	[]
L 385	[]
L 386	[]
L 387	[]
L 388	null
L 389	null
L 390	[]
L 391	[]
L 392	null
L 393	null
L 394	null
L 395	null
L 396	null
L 397	null
L 398	null
L 399	[]
L 400	[]
L 401	null
L 402	null
L 403	[]
L 404	[]
L 405	null
L 406	[]
L 407	[]
L 408	[]
L 409	[]
L 410	[]
L 411	[]
L 412	[]
L 413	[]
L 414	[]
L 415	[]
L 416	null
L 417	[]
L 418	[]
L 419	[]
L 420	[]
L 421	[]
L 422	[]
L 423	[]
L 424	[]
L 425	[]
L 426	null
L 427	null
L 428	null
L 429	[]
L 430	null
L 431	null
L 432	[]
L 433	[]
L 434	[]
L 435	null
L 436	[]
L 437	[]
L 438	[]
L 439	[]
L 440	[]
L 441	null
L 442	null
L 443	[]
L 444	null
L 445	[]
L 446	null
L 447	[]
L 448	null
L 449	[]
L 450	[]
L 451	[]
L 452	[]
L 453	[]
L 454	null
L 455	null
L 456	null
L 457	null
L 458	null
L 459	[]
L 460	[]
L 461	[]
L 462	[]
L 463	null
L 464	[]
L 465	[]
L 466	null
L 467	[]
L 468	null
L 469	[]
L 470	[]
L 471	[]
L 472	[]
L 473	null
L 474	null
L 475	null
L 476	[]
L 477	[]
L 478	null
L 479	null
L 480	[]
L 481	[]
L 482	[]
L 483	null
L 484	[]
L 485	[]
L 486	[]
L 487	[]
L 488	[]
L 489	null
L 490	null
L 491	[]
L 492	[]
L 493	null
L 494	[]
L 495	null
L 496	[]
L 497	null
L 498	null
L 499	null
L 500	[]
L 501	[]
L 502	null
L 503	null
L 504	null
L 505	[]
L 506	null
L 507	null
L 508	null
L 509	null
L 510	[]
L 511	[]
L 512	null
L 513	null
L 514	null
L 515	null
L 516	null
L 517	[]
L 518	null
L 519	[]
L 520	[]
L 521	null
L 522	[]
L 523	null
L 524	[]
L 525	[]
L 526	[]
L 527	null
L 528	null
L 529	null
L 530	[]
L 531	[[[7,7],[6,7],[3],[0]],[[6,7],[5,7],[3],[0]],[[5,7],[4,7],[3],[0]],[[4,7],[3,7],[3],[0]],[[3,7],[2,7],[3],[0]],[[2,7],[1,7],[3],[0]],[[1,7],[0,7],[3],[0]],[[0,7],[8,7],[3],[1]],[[8,7],[7,7],[3],[1]],[[8,4],[8,3],[0],[0]],[[8,3],[8,2],[0],[0]],[[0,3],[0,4],[2],[0]],[[0,4],[0,5],[2],[0]],[[8,2],[8,5],[0],[2]],[[8,5],[8,4],[0],[2]],[[0,5],[0,2],[2],[3]],[[0,2],[0,3],[2],[3]]]
L 532	[[[1,0],[2,0],[1],[0]],[[2,0],[3,0],[1],[0]],[[3,0],[4,0],[1],[0]],[[4,0],[5,0],[1],[0]],[[5,0],[6,0],[1],[0]],[[6,0],[7,0],[1],[0]],[[7,0],[8,0],[1],[0]],[[8,0],[0,0],[1],[1]],[[0,0],[1,0],[1],[1]]]
