L   1	[]
L   2	[]
L   3	[]
L   4	[]
L   5	[[[4,0],[4,2]],[[3,0],[3,2]],[[2,0],[2,2]],[[5,0],[5,2]],[[1,4],[1,6]],[[1,6],[1,8]],[[1,2],[1,4]],[[6,2],[6,4]],[[6,4],[6,6]],[[6,6],[6,8]]]
L   6	[]
L   7	[]
L   8	[]
L   9	[[[0,3,14],[0,5,14]],[[7,3,14],[7,5,14]]]
L  10	[[[0,2,14],[0,4,14]],[[8,2,14],[8,4,14]],[[4,4,14],[4,6,14]]]
L  11	[]
L  12	[]
L  13	[[[5,4,14],[5,6,14]],[[3,2,14],[3,4,14]],[[3,4,14],[3,6,14]],[[5,2,14],[5,4,14]]]
L  14	[[[8,2,14],[8,6,14]],[[0,2,14],[0,6,14]]]
L  15	[]
L  16	[]
L  17	[]
L  18	[]
L  19	[[[0,2,14],[0,6,14]],[[8,2,14],[8,6,14]]]
L  20	[[[0,3,14],[0,5,14]],[[1,3,14],[1,5,14]],[[2,3,14],[2,5,14]],[[0,8,14],[5,0,14]],[[1,8,14],[6,0,14]],[[2,8,14],[7,0,14]]]
L  21	[]
L  22	[]
L  23	[]
L  24	[[[2,3,14],[2,5,14]],[[3,2,14],[3,4,14]],[[4,3,14],[4,5,14]],[[5,2,14],[5,4,14]],[[6,3,14],[6,5,14]]]
L  25	[]
L  26	[[[2,5,14],[2,7,14]],[[4,6,14],[4,8,14]],[[6,5,14],[6,7,14]],[[1,6,14],[1,8,14]],[[7,6,14],[7,8,14]],[[2,1,14],[2,3,14]],[[6,1,14],[6,3,14]]]
L  27	[]
L  28	[]
L  29	[[[4,3,14],[4,5,14]],[[6,0,14],[6,2,14]],[[6,6,14],[6,8,14]]]
L  30	[[[1,3,14],[1,6,14]],[[5,2,14],[5,5,14]]]
L  31	[[[2,4,14],[2,6,14]],[[4,4,14],[4,6,14]],[[6,4,14],[6,6,14]],[[7,1,14],[7,6,14]],[[5,1,14],[5,6,14]],[[3,1,14],[3,6,14]],[[1,1,14],[1,6,14]]]
L  32	[[[0,0,14],[0,3,14]],[[8,0,14],[8,3,14]],[[0,8,14],[0,0,14]],[[8,8,14],[8,0,14]]]
L  33	[[[0,3,14],[0,5,14]],[[1,3,14],[1,5,14]],[[2,3,14],[2,5,14]],[[3,3,14],[3,5,14]],[[5,3,14],[5,5,14]],[[6,3,14],[6,5,14]],[[7,3,14],[7,5,14]],[[8,3,14],[8,5,14]]]
L  34	[[[3,1,14],[3,3,14]],[[5,1,14],[5,3,14]],[[6,1,14],[6,7,14]],[[2,1,14],[2,7,14]],[[3,5,14],[3,7,14]],[[5,5,14],[5,7,14]]]
L  35	[[[4,0,14],[4,2,14]],[[4,2,14],[4,6,14]],[[4,6,14],[4,8,14]]]
L  36	[]
L  37	[]
L  38	[]
L  39	[[[0,4,14],[0,6,14]],[[1,4,14],[1,6,14]],[[2,4,14],[2,6,14]],[[3,4,14],[3,6,14]],[[4,4,14],[4,6,14]],[[5,4,14],[5,6,14]],[[6,4,14],[6,6,14]],[[7,4,14],[7,6,14]],[[8,4,14],[8,6,14]]]
L  40	[]
L  41	[[[1,1,14],[1,6,14]],[[7,1,14],[7,6,14]]]
L  42	[]
L  43	[]
L  44	[[[0,2,14],[0,4,14]],[[1,3,14],[1,5,14]],[[2,4,14],[2,6,14]],[[3,5,14],[3,7,14]],[[5,5,14],[5,7,14]],[[6,4,14],[6,6,14]],[[7,3,14],[7,5,14]],[[8,2,14],[8,4,14]]]
L  45	[[[4,1,14],[4,3,14]],[[4,3,14],[4,5,14]]]
L  46	[[[0,3,14],[0,5,14]],[[8,3,14],[8,5,14]]]
L  47	[[[5,3,14],[5,5,14]],[[6,3,14],[6,5,14]],[[7,3,14],[7,5,14]],[[8,3,14],[8,5,14]]]
L  48	[[[0,3,14],[0,5,14]],[[1,3,14],[1,5,14]],[[7,3,14],[7,5,14]],[[8,3,14],[8,5,14]]]
L  49	[]
L  50	[]
L  51	[]
L  52	[]
L  53	[[[0,3],[0,5]],[[1,3],[1,5]],[[7,3],[7,5]],[[8,3],[8,5]]]
L  54	[]
L  55	[[[3,5,14],[3,7,14]],[[4,5,14],[4,7,14]],[[5,5,14],[5,7,14]]]
L  56	[]
L  57	[]
L  58	[]
L  59	[]
L  60	[[[8,2,14],[8,6,14]],[[0,2,14],[0,6,14]],[[2,2,14],[2,4,14]],[[6,2,14],[6,4,14]]]
L  61	[]
L  62	[]
L  63	[[[5,3,14],[5,5,14]],[[6,3,14],[6,5,14]],[[7,3,14],[7,5,14]],[[8,3,14],[8,5,14]]]
L  64	[]
L  65	[]
L  66	[[[0,8,14],[5,0,14]],[[1,8,14],[6,0,14]],[[2,8,14],[7,0,14]],[[3,8,14],[8,0,14]]]
L  67	[[[4,5,14],[4,7,14]],[[2,1,14],[3,3,14]],[[6,1,14],[5,3,14]]]
L  68	[[[8,8,14],[2,0,14]]]
L  69	[]
L  70	[[[0,8,14],[5,1,14]],[[1,8,14],[6,1,14]],[[2,8,14],[7,1,14]],[[3,8,14],[8,1,14]]]
L  71	[[[6,4,14],[6,7,14]],[[7,4,14],[7,7,14]],[[8,4,14],[8,7,14]],[[0,3,14],[0,5,14]],[[1,3,14],[1,5,14]],[[2,3,14],[2,5,14]]]
L  72	[[[0,3,14],[0,7,14]],[[1,4,14],[1,7,14]],[[2,5,14],[2,7,14]],[[6,5,14],[6,7,14]],[[7,4,14],[7,7,14]],[[8,3,14],[8,7,14]]]
L  73	[[[2,4,14],[2,6,14]],[[3,4,14],[3,6,14]],[[4,4,14],[4,6,14]],[[5,4,14],[5,6,14]],[[6,4,14],[6,6,14]]]
L  74	[[[0,0,14],[0,2,14]],[[1,0,14],[1,2,14]],[[2,0,14],[2,2,14]],[[3,0,14],[3,2,14]],[[5,4,14],[5,6,14]],[[6,4,14],[6,6,14]],[[7,4,14],[7,6,14]],[[8,4,14],[8,6,14]]]
L  75	[]
L  76	[[[5,8,14],[0,0,14]],[[6,8,14],[1,0,14]],[[7,8,14],[2,0,14]],[[8,8,14],[3,0,14]],[[0,8,14],[5,0,14]],[[1,8,14],[6,0,14]],[[2,8,14],[7,0,14]],[[3,8,14],[8,0,14]]]
L  77	[[[0,2,14],[0,6,14]],[[1,2,14],[1,6,14]],[[2,2,14],[2,6,14]],[[3,2,14],[3,6,14]],[[4,2,14],[4,6,14]],[[5,2,14],[5,6,14]],[[6,2,14],[6,6,14]],[[7,2,14],[7,6,14]],[[8,2,14],[8,6,14]]]
L  78	[[[0,5,14],[2,0,14]],[[8,5,14],[6,0,14]]]
L  79	[[[3,3,1024],[3,5,1024]],[[4,1,8192],[4,7,8192]],[[5,3,1024],[5,5,1024]]]
L  80	[[[0,8,8192],[5,0,8192]],[[1,8,8192],[6,0,8192]],[[2,8,8192],[7,0,8192]],[[3,8,8192],[8,0,8192]]]
L  81	[]
L  82	[[[0,8,8192],[0,0,8192]],[[1,8,8192],[1,0,8192]],[[2,8,8192],[2,0,8192]],[[3,8,8192],[3,0,8192]],[[4,8,8192],[4,0,8192]],[[5,8,8192],[5,0,8192]],[[6,8,8192],[6,0,8192]],[[7,8,8192],[7,0,8192]],[[8,8,8192],[8,0,8192]]]
L  83	[]
L  84	[[[0,2,14],[0,4,14]],[[1,2,14],[1,4,14]],[[2,2,14],[2,4,14]],[[3,2,14],[3,4,14]],[[6,3,14],[6,5,14]],[[7,3,14],[7,5,14]],[[8,3,14],[8,5,14]],[[0,5,14],[0,7,14]],[[1,5,14],[1,7,14]]]
L  85	[]
L  86	[]
