L  17	[0,4]
L  18	[0, 3]
L  19	[0,5]
L  25	[0,9]
L  28	[0, 6]
L  32	[0, 5]
L  41	[0, 7]
L  42	[0, 3]
L  46	[0, 3]
L  52	[0, 3]
L  56	[0, 3]
L  57	[0, 8]
L  58	[0, 4]
L  64	[0, 16]
L  67	[0, 3]
L  69	[0, 3]
L  74	[0, 3]
L  76	[0, 1]
L  77	[0, 2]
L  79	[0, 4]
L  81	[0, 2]
L  84	[0, 5]
L  89	[0, 6]
L  93	[0, 4]
L 100	[0, 3]
L 102	[0, 1]
L 106	[0, 1]
L 109	[0, 24]
L 114	[0, 3]
L 117	[0, 5]
L 120	[0, 6]
L 122	[0, 2]
L 125	[0, 5]
L 127	[0, 4]
L 130	[0, 18]
L 135	[0, 4]
L 138	[0, 9]
L 142	[0, 10]
L 146	[0, 25]
L 148	[0, 10]
L 153	[0, 2]
L 154	[0, 5]
L 158	[0, 2]
L 161	[0, 1]
L 164	[0, 11]
L 170	[0, 14]
L 171	[0, 3]
L 176	[0, 7]
L 180	[0, 4]
L 183	[0, 10]
L 188	[0, 5]
L 194	[0, 4]
L 198	[0, 4]
L 203	[0, 4]
L 206	[0, 10]
L 209	[0, 9]
L 212	[0, 3]
L 215	[0, 4]
L 218	[0, 9]
L 222	[0, 2]
L 226	[0, 9]
L 229	[0, 2]
L 233	[0, 7]
L 237	[0, 36]
L 241	[0, 7]
L 244	[0, 6]
L 248	[0, 11]
L 252	[0, 25]
L 257	[0, 6]
L 263	[0, 6]
L 266	[0, 4]
L 271	[0, 6]
L 278	[0, 7]
L 282	[0, 10]
L 286	[0, 4]
L 289	[0, 8]
L 293	[0, 5]
L 296	[0, 6]
L 301	[0, 51]
L 306	[0, 2]
L 313	[0, 16]
L 318	[0, 4]
L 321	[0, 25]
L 326	[0, 6]
L 331	[0, 33]
L 339	[0, 4]
L 343	[0, 10]
L 348	[0, 10]
L 356	[0, 9]
L 359	[0, 3]
L 368	[0, 2]
L 371	[0, 2]
L 374	[0, 6]
L 383	[0, 10]
L 389	[0, 7]
L 394	[0, 6]
L 396	[0, 3]
L 397	[0, 4]
L 399	[0, 15]
L 401	[0, 4]
L 403	[0, 17]
L 407	[0, 10]
L 408	[0, 5]
L 412	[0, 36]
L 413	[0, 12]
L 416	[0, 18]
L 417	[0, 5]
L 421	[0, 4]
L 422	[0, 6]
L 426	[0, 10]
L 428	[0, 4]
L 430	[0, 12]
L 431	[0, 2]
L 433	[0, 2]
L 435	[0, 16]
L 436	[0, 9]
L 437	[0, 3]
L 440	[0, 1]
L 444	[0, 6]
L 445	[0, 2]
L 447	[0, 3]
L 449	[0, 40]
L 453	[0, 4]
L 456	[0, 4]
L 459	[0, 7]
L 463	[0, 2]
L 466	[0, 2]
L 468	[0, 6]
L 471	[0, 3]
L 473	[0, 4]
L 477	[0, 3]
L 478	[0, 6]
L 482	[0, 3]
L 484	[0, 25]
L 488	[0, 2]
L 489	[0, 4]
L 495	[0, 4]
L 499	[0, 3]
L 501	[0, 7]
L 503	[0, 14]
L 506	[0, 29]
L 508	[0, 3]
L 511	[0, 3]
L 514	[0, 16]
L 518	[0, 6]
L 519	[0, 12]
L 523	[0, 4]
L 525	[0, 12]
L 529	[0, 9]
L 534	[0, 7]
L 535	[0, 2]
L 538	[0, 4]
L 542	[0, 6]
L 543	[0, 5]
L 546	[0, 16]
L 549	[0, 6]
L 551	[0, 2]
L 556	[0, 5]
L 561	[0, 3]
L 563	[0, 3]
L 567	[0, 4]
L 569	[0, 5]
L 573	[0, 9]
L 579	[0, 5]
L 580	[0, 5]
L 583	[0, 3]
L 592	[2, 2]
L 593	[0, 2]
L 598	[0, 2]
L 600	[0, 6]
L 601	[0, 4]
L 602	[0, 15]
L 610	[0, 8]
L 611	[0, 6]
L 614	[2, 2]
L 620	[0, 2]
L 623	[3, 3]
L 624	[7, 7]
L 629	[3, 3]
L 631	[1, 2]
L 635	[0, 3]
L 637	[0, 5]
L 644	[2, 1]
L 645	[2, 0]
L 657	[0, 2]
L 660	[2, 1]
L 661	[2, 1]
L 664	[1, 1]
L 671	[3, 0]
L 674	[2, 1]
L 679	[0, 4]
L 680	[0, 5]
L 684	[0, 2]
L 685	[0, 3]
L 690	[0, 3]
L 691	[3, 0]
L 700	[2, 1]
L 703	[2, 2]
L 707	[3, 2]
L 708	[1, 2]
L 709	[0, 5]
L 711	[1, 0]
L 715	[1, 2]
L 719	[1, 2]
L 723	[0, 6]
L 724	[2, 2]
L 726	[0, 10]
L 729	[0, 3]
L 734	[2, 2]
L 735	[0, 6]
L 738	[2, 2]
L 739	[0, 1]
L 742	[0, 2]
L 743	[2, 2]
L 744	[0, 1]
L 745	[2, 1]
L 754	[1, 1]
L 756	[2, 2]
L 757	[0, 3]
L 759	[0, 3]
L 767	[0, 3]
L 768	[0, 1]
L 769	[0, 2]
L 772	[1, 1]
L 773	[0, 9]
L 775	[0, 4]
L 790	[0, 4]
L 793	[0, 2]
L 796	[0, 2]
L 798	[0, 3]
L 802	[2, 2]
L 805	[0, 2]
L 811	[0, 4]
L 812	[0, 1]
L 813	[0, 3]
L 817	[1, 1]
L 818	[0, 3]
L 825	[3, 0]
L 828	[4, 0]
L 832	[0, 1]
L 836	[0, 4]
L 837	[0, 1]
L 841	[0, 4]
L 849	[0, 2]
L 851	[2, 2]
L 853	[2, 2]
L 857	[1, 1]
L 858	[3, 0]
L 863	[0, 2]
L 868	[0, 2]
L 871	[5, 0]
L 872	[0, 9]
L 879	[0, 3]
L 884	[2, 2]
L 886	[0, 5]
L 890	[0, 2]
L 892	[0, 10]
L 893	[2, 3]
L 895	[1, 2]
L 897	[6, 6]
L 903	[4, 4]
L 909	[3, 0]
L 910	[0, 5]
L 915	[0, 2]
L 917	[0, 8]
L 919	[2, 2]
L 923	[0, 1]
